로케이션	순위_1개월박스	분류	로케이션	제품명	바코드	1개월_출고박스	대분류
72	26	리빙박스 로코스	320-A1-1-161	보노하우스 로코스 수납 바스켓 M 라이트 화이트 8개	R012320360002	156	리빙박스 로코스
73	44	리빙박스 로코스	320-A1-1-161	로코스 수납 바스켓 M 8개 화이트	R006596970006	121	리빙박스 로코스
74	58	리빙박스 로코스	320-A1-1-268	보노하우스 로코스 수납정리함 화이트 M 6개 1팩	R012319980003	82	리빙박스 로코스
75	1	리빙박스 로코스	320-A1-1-163	보노하우스 로코스 수납 바스켓 M 아이보리 4개	R012320360003	992	리빙박스 로코스
75	22	리빙박스 로코스	320-A1-1-163	로코스 수납 바스켓 M 4개 크림	R006596890002	183	리빙박스 로코스
76	40	리빙박스 로코스	320-A1-1-162	보노하우스 로코스 수납 바스켓 M 아이보리 8개	R012320360001	128	리빙박스 로코스
77	20	리빙박스 로코스	320-A1-1-170	보노하우스 로코스 수납정리함 화이트 S 4개 1팩	R012319980001	204	리빙박스 로코스
78	28	리빙박스 로코스	320-A1-1-292	보노하우스 팬트리 리빙박스  화이트 S 4개 1팩	R014052850002	153	리빙박스 로코스
79	50	리빙박스 로코스	320-A1-1-171	Box_로코스 수납 바스켓 S 8개 화이트	R006596970005	97	리빙박스 로코스
79	66	리빙박스 로코스	320-A1-1-171	보노하우스 로코스 수납 바스켓 S  라이트 화이트 8개	R012318560002	75	리빙박스 로코스
80	29	리빙박스 로코스	320-A1-1-173	보노하우스 로코스 수납정리함 크림 S 4개 1팩	R012319980002	153	리빙박스 로코스
90	6	이유 정리함	320-A1-1-690	보노하우스 워크박스 부품 공구 수납함 옐로우 9개 15.5 x 23.5 x 11.2 cm	R246905800010	388	이유 정리함
91	61	이유 정리함	320-A1-1-698	보노하우스 워크박스 부품 공구 수납함 레드 9개 15.5 x 23.5 x 11.2 cm	R246905810011	81	이유 정리함
92	79	이유 정리함	320-A1-1-699	보노하우스 워크박스 부품 공구 수납함 블루 9개 15.5 x 23.5 x 11.2 cm	R246905820012	66	이유 정리함
93	14	이유 정리함	320-A1-1-692	보노하우스 워크박스 부품 공구 수납함 블루 2개 15.5 x 23.5 x 11.2 cm	R246905730003	246	이유 정리함
94	16	이유 정리함	320-A1-1-691	보노하우스 워크박스 부품 공구 수납함 레드 2개 15.5 x 23.5 x 11.2 cm	R246905720002	221	이유 정리함
95	31	이유 정리함	320-A1-2-146	보노하우스 이유 적층형 다용도 정리함 화이트 6개 15.5 X 23.5 X 11.2cm	R226361720002	148	이유 정리함
96	34	이유 정리함	320-A1-1-695	보노하우스 워크박스 부품 공구 수납함 옐로우 6개 15.5 x 23.5 x 11.2 cm	R246905770007	139	이유 정리함
100	15	트레이	320-A1-1-177	옷정리 트레이 30개	R004514090001	230	트레이
101	51	트레이	320-A1-1-176	보노하우스 슬라이딩 옷정리 적층 트레이 티셔츠 트레이 20개	R014930400004	96	트레이
102	80	트레이	320-A1-1-175	셔츠트레이 10개	R003071410001	65	트레이
104	74	핸들러 바스켓	320-A1-1-280	보노하우스 리빙 그립 바스켓  L 화이트 4개	R012426740006	69	핸들러 바스켓
105	76	핸들러 바스켓	320-A1-1-281	보노하우스 리빙 그립 바스켓  L 크림 4개	R012426740005	68	핸들러 바스켓
110	27	옷걸이	320-A1-1-184	보노하우스 어반 어깨뿔 방지 옷걸이 화이트 30개 화이트 30개 1팩	R010417210001	156	옷걸이
111	73	옷걸이	320-A1-1-180	보노하우스 어반 어깨뿔 방지 옷걸이 크림 30개	R013338780001	70	옷걸이
120	36	북 트롤리	320-A1-2-115	보노하우스 모던 북 트롤리 수납 정리함 화이트 5단 1개	R016128090006	134	북 트롤리
121	46	북 트롤리	320-A1-2-80	보노하우스 틈새 수납 슬림 트롤리  화이트 2단 1개	R204398150002	116	북 트롤리
130	49	데크 타일	320-A1-2-70	보노하우스 조립식 데크타일 크림 9장	R015202640001	99	데크 타일
131	43	데크 타일	320-A1-2-75	보노하우스 조립식 데크타일 크림 18장	R015202640011	122	데크 타일
140	62	슬림형 서랍장	320-A1-1-452	보노하우스 심플리 슬림 서랍장 5단 화이트 1개	R011191900003	80	슬림형 서랍장
