순위_1개월박스	분류	로케이션	제품명	바코드
272	와이드 서랍장	320-A1-1-765	보노하우스 가든 라탄 서랍장 와이드화이트 6단 1개	R206610750004
273	맥스	320-A1-1-554	보노하우스 어반 우드상판 베이직 서랍장  6단 투명 1개	R013890870006
274	맥스	320-A1-1-533	보노하우스 국내제조 맥스 이동식 서랍장 다크투명 1개 4단(360 x 430 x 945 mm)	R244125590009
275	북 트롤리	320-A1-2-112	보노하우스 모던 북 트롤리 수납 정리함 모던핑크 4단 1개	R016128090008
276	리빙카트	320-A1-1-977	모던 리빙카트 트롤리 3단 그레이	R006266960004
277	리빙박스 로코스	320-A1-1-290	보노하우스 팬트리 리빙박스  그레이 M 4개 1팩	R014052850007
278	초대형	320-A1-1-108	Box_모던초대형해피박스_바이올렛_2개	R000538800003
279	옷걸이	320-A1-1-314	보노하우스 목 늘림 방지 옷걸이 화이트 30개	R013337950003
280	모던 플러스	320-A1-1-616	키즈플러스 화이트오크 상판 5단 서랍장	R004498740002
281	모던 플러스	320-A1-1-622	뉴모던플러스 우드형상판 5단 라이트블루	R000150580036
282	와이드 서랍장	320-A1-1-761	보노하우스 심플리 와이드 서랍장 6단 크림 1개	R011622510001
283	에센셜	320-A1-1-877	보노하우스 라노보 우드상판 서랍장 화이트 7단 1개	R213276390003
284	맥스	320-A1-1-556	보노하우스 맥스 서랍장 다크투명 6단 1개	R013890890001
285	와이드 서랍장	320-A1-1-727	보노하우스 세라비 우드상판 와이드 서랍장 크림 2단 1개	R212660700014
286	와이드 서랍장	320-A1-1-728	보노하우스 세라비 우드상판 와이드 서랍장 화이트 2단 1개	R212660600004
287	슬림서랍장	320-A1-1-233	보노 슬림서랍장 4단 투명(바퀴포함)	R001475620018
288	맥스	320-A1-1-502	보노하우스 어반 우드상판 베이직 서랍장  2단 화이트 1개	R013890870003
289	옷걸이	320-A1-1-329	보노하우스 와이드 튼튼 어깨뿔방지 옷걸이 크림 50개 1팩	R014043450002
290	북 트롤리	320-A1-2-83	보노하우스 틈새 수납 슬림 트롤리  모던 블루 2단 1개	R204398200007
291	초대형	320-A1-1-114	보노하우스 모던 와이드 해피박스 블루 2개 1세트 46L 450X400X250mm	R231382270002
292	초대형	320-A1-1-113	보노하우스 모던 와이드 해피박스 핑크 2개 1세트 46L 450X400X250mm	R231382260001
293	옷걸이	320-A1-1-322	보노하우스 와이드 튼튼 어깨뿔방지 옷걸이 화이트 20개  1팩	R013917230005
294	슬림서랍장	320-A1-1-254	슬림 서랍장 2단 그레이	R000695390004
295	해피	320-A1-1-259	Box_모던해피박스_아이보리_2개	R000538800020
296	해피	320-A1-2-55	BOX_모던 해피박스 2P 그레이+아이보리	R001327720030
297	리빙박스 로코스	320-A1-1-267	보노하우스 로코스 수납 바스켓 XS 6개 크림 1팩	R010638740001
298	옷걸이	320-A1-1-312	보노하우스 목 늘림 방지 옷걸이 블랙 30개	R013337950005
299	리빙박스 로코스	320-A1-1-396	보노하우스 국내 제조 팬트리수납 정리바스켓 크림 2개 XS	R233050510003
300	칵투스	320-A1-1-990	보노하우스 칵투스 미끄럼방지 목욕 욕실 의자 그레이 대(265 x 185 x 190 mm)	R248319830002
301	모던 플러스	320-A1-1-613	뉴모던플러스 우드형상판 5단 바이올렛	R000150580034
