barcode,skuId,productName,category,location,inventoryDate,currentStock,minStock,safetyStock,reorderPoint,maxStock,stockStatus,coverDays,outbound14dTotal,avgDailyOutbound14d,outbound30dTotal,avgDailyOutbound30d,lifecycleStatus
R004464600003,11509032,모던 틈새 수납장 8단 화이트,슬림서랍장,320-A1-1-200,2026-04-16,39,10,10,10,99,normal,14.37,38,2.71,99,3.30,active
R004464600004,11509033,모던 틈새 수납장 7단 화이트,슬림서랍장,320-A1-1-201,2026-04-16,20,2,2,2,20,normal,31.11,9,0.64,20,0.67,active
R004464600001,11509030,모던 틈새 수납장 8단 투명,슬림서랍장,320-A1-1-202,2026-04-16,30,10,10,10,105,normal,13.55,31,2.21,105,3.50,active
R004464600005,11509034,모던 틈새 수납장 7단 투명,슬림서랍장,320-A1-1-203,2026-04-16,9,3,3,3,34,normal,14.00,9,0.64,34,1.13,active
R004464600002,11509031,모던 틈새 수납장 8단 그레이,슬림서랍장,320-A1-1-204,2026-04-16,9,2,2,2,20,normal,15.75,8,0.57,20,0.67,active
R004464600006,11509035,모던 틈새 수납장 7단 그레이,슬림서랍장,320-A1-1-205,2026-04-16,16,0,0,0,0,normal,,0,0.00,0,0.00,active
R004064670007,11070710,모던 틈새 슬림서랍장 화이트 4단 2개,슬림서랍장,320-A1-1-206,2026-04-16,1,0,0,0,0,normal,,0,0.00,0,0.00,active
R004064670012,11070709,모던 틈새 슬림서랍장 투명 4단 2개,슬림서랍장,320-A1-1-207,2026-04-16,10,0,0,0,1,high,,0,0.00,1,0.03,active
R000695390027,3211600,슬림 서랍장 6단 화이트,슬림서랍장,320-A1-1-210,2026-04-16,4,2,2,2,17,normal,5.60,10,0.71,17,0.57,active
R004514090002,11541116,옷정리 트레이 50개,트레이,320-A1-1-178,2026-04-16,48,14,14,14,145,normal,8.62,78,5.57,145,4.83,active
R013338780001,28260372,보노하우스 어반 어깨뿔 방지 옷걸이 크림 30개,옷걸이,320-A1-1-180,2026-04-16,21,5,5,5,52,normal,13.36,22,1.57,52,1.73,active
R013338780003,28260374,보노하우스 어반 어깨뿔 방지 옷걸이 블랙 30개,옷걸이,320-A1-1-181,2026-04-16,6,2,2,2,15,normal,16.80,5,0.36,15,0.50,active
R013338780002,28260373,보노하우스 어반 어깨뿔 방지 옷걸이 크림 50개,옷걸이,320-A1-1-182,2026-04-16,9,3,3,3,33,normal,7.88,16,1.14,33,1.10,active
R013338780004,28260375,보노하우스 어반 어깨뿔 방지 옷걸이 블랙 50개,옷걸이,320-A1-1-183,2026-04-16,6,2,2,2,19,normal,9.33,9,0.64,19,0.63,active
R010417210001,17579474,보노하우스 어반 어깨뿔 방지 옷걸이 화이트 30개 화이트 30개 1팩,옷걸이,320-A1-1-184,2026-04-16,34,11,11,11,110,normal,11.90,40,2.86,110,3.67,active
R010417720001,17580871,보노하우스 어반 어깨뿔 방지 옷걸이 그레이 30개 그레이 30개 1팩,옷걸이,320-A1-1-185,2026-04-16,16,2,2,2,21,normal,16.00,14,1.00,21,0.70,active
R008022790001,15070038,어반 어깨뿔 방지 옷걸이 50개 화이트,옷걸이,320-A1-1-186,2026-04-16,17,5,5,5,53,normal,8.50,28,2.00,53,1.77,active
R008024230001,15069973,어반 어깨뿔 방지 옷걸이 50개 그레이,옷걸이,320-A1-1-187,2026-04-16,6,3,3,3,27,normal,9.33,9,0.64,27,0.90,active
R008024230002,15069974,어반 어깨뿔 방지 옷걸이 혼합 50개,옷걸이,320-A1-1-188,2026-04-16,13,0,0,0,1,high,182.00,1,0.07,1,0.03,active
R008022790002,15070039,어반 어깨뿔 방지 옷걸이 70개 화이트,옷걸이,320-A1-1-189,2026-04-16,4,1,1,1,6,normal,18.67,3,0.21,6,0.20,active
R006596890002,14074656,로코스 수납 바스켓 M 4개 크림,리빙박스 로코스,320-A1-1-163,2026-04-16,242,22,22,22,219,high,42.35,80,5.71,219,7.30,active
R012320360004,24254262,보노하우스 로코스 수납 바스켓 M 라이트 화이트 4개,리빙박스 로코스,320-A1-1-164,2026-04-16,32,0,0,0,3,high,,0,0.00,3,0.10,active
R010268740001,17346918,로코스 수납 바스켓 M 4개 화이트 화이트 1팩,리빙박스 로코스,320-A1-1-164,2026-04-16,48,13,13,13,126,normal,12.22,55,3.93,126,4.20,active
R012319980005,24335715,보노하우스 로코스 수납정리함 화이트 L 6개 1팩,리빙박스 로코스,320-A1-1-166,2026-04-16,86,24,24,24,235,normal,11.69,103,7.36,235,7.83,active
R012319980006,24335719,보노하우스 로코스 수납정리함 크림 L 6개 1팩,리빙박스 로코스,320-A1-1-167,2026-04-16,100,31,31,31,309,normal,12.17,115,8.21,309,10.30,active
R012319980001,24335716,보노하우스 로코스 수납정리함 화이트 S 4개 1팩,리빙박스 로코스,320-A1-1-170,2026-04-16,116,18,18,18,184,normal,18.88,86,6.14,184,6.13,active
R012318560002,24335354,보노하우스 로코스 수납 바스켓 S  라이트 화이트 8개,리빙박스 로코스,320-A1-1-171,2026-04-16,9,6,6,6,55,normal,4.34,29,2.07,55,1.83,active
R006596970005,14074669,Box_로코스 수납 바스켓 S 8개 화이트,리빙박스 로코스,320-A1-1-171,2026-04-16,35,5,5,5,52,normal,49.00,10,0.71,52,1.73,active
R012318560001,24335352,보노하우스 로코스 수납 바스켓 S  아이보리 8개,리빙박스 로코스,320-A1-1-172,2026-04-16,4,0,0,0,2,high,,0,0.00,2,0.07,active
R006596970002,14074667,로코스 수납 바스켓 S 8개 크림,리빙박스 로코스,320-A1-1-172,2026-04-16,14,4,4,4,40,normal,16.33,12,0.86,40,1.33,active
R012319980002,24335720,보노하우스 로코스 수납정리함 크림 S 4개 1팩,리빙박스 로코스,320-A1-1-173,2026-04-16,115,13,13,13,133,normal,39.27,41,2.93,133,4.43,active
R003071410001,10121237,셔츠트레이 10개,트레이,320-A1-1-175,2026-04-16,27,4,4,4,38,normal,17.18,22,1.57,38,1.27,active
R014930400004,34179922,보노하우스 슬라이딩 옷정리 적층 트레이 티셔츠 트레이 20개,트레이,320-A1-1-176,2026-04-16,28,8,8,8,75,normal,10.05,39,2.79,75,2.50,active
R014930400009,34179924,보노하우스 슬라이딩 옷정리 적층 트레이 티셔츠 트레이 30개,트레이,320-A1-1-177,2026-04-16,11,0,0,0,5,high,51.33,3,0.21,5,0.17,active
R004514090001,11541115,옷정리 트레이 30개,트레이,320-A1-1-177,2026-04-16,104,34,34,34,337,normal,8.56,170,12.14,337,11.23,active
R231382290004,59729369,보노하우스 모던 와이드 해피박스 버터 2개 1세트 46L 450X400X250mm,초대형,320-A1-1-116,2026-04-16,14,3,3,3,30,normal,28.00,7,0.50,30,1.00,active
R006596970003,14074642,로코스 수납 바스켓 L 4개 화이트,리빙박스 로코스,320-A1-1-150,2026-04-16,213,57,57,57,570,normal,13.14,227,16.21,570,19.00,active
R012319330004,24225730,보노하우스 로코스 수납 바스켓 L 라이트 화이트 4개,리빙박스 로코스,320-A1-1-150,2026-04-16,27,7,7,7,74,normal,13.03,29,2.07,74,2.47,active
R012319330003,24225729,보노하우스 로코스 수납 바스켓 L 아이보리 4개,리빙박스 로코스,320-A1-1-151,2026-04-16,18,5,5,5,47,normal,10.96,23,1.64,47,1.57,active
R006596970004,14074643,로코스 수납 바스켓 L 4개 크림,리빙박스 로코스,320-A1-1-151,2026-04-16,57,28,28,28,279,normal,7.67,104,7.43,279,9.30,active
R012320360002,24254260,보노하우스 로코스 수납 바스켓 M 라이트 화이트 8개,리빙박스 로코스,320-A1-1-161,2026-04-16,30,19,19,19,194,normal,4.33,97,6.93,194,6.47,active
R006596970006,14074670,로코스 수납 바스켓 M 8개 화이트,리빙박스 로코스,320-A1-1-161,2026-04-16,45,10,10,10,98,normal,16.15,39,2.79,98,3.27,active
R012320360001,24254259,보노하우스 로코스 수납 바스켓 M 아이보리 8개,리빙박스 로코스,320-A1-1-162,2026-04-16,14,8,8,8,81,normal,4.67,42,3.00,81,2.70,active
R006596890001,14074655,로코스 수납 바스켓 M 8개 크림,리빙박스 로코스,320-A1-1-162,2026-04-16,4,1,1,1,9,normal,7.00,8,0.57,9,0.30,active
R001327720002,7097071,BOX_모던초대형 해피박스 2P 블루+그레이,초대형,320-A1-1-104,2026-04-16,32,1,1,1,9,high,149.33,3,0.21,9,0.30,active
R001327720001,7097070,BOX_모던초대형 해피박스 2P 블루+아이보리,초대형,320-A1-1-105,2026-04-16,18,3,3,3,30,normal,19.38,13,0.93,30,1.00,active
R001327720006,7097075,BOX_모던초대형 해피박스 2P 네이비+그레이,초대형,320-A1-1-106,2026-04-16,12,1,1,1,8,high,24.00,7,0.50,8,0.27,active
